title,like,neutral,unlike,add,status,Member_Rating,Reviews,Popularity,percent
Battle Breakers,4,0,0,84,Massively Positive,4,0,50,10
Stay Out,14,4,3,599,Very Positive,21,5,2,82
PC Futbol Legends,2,0,3,179,Negative,5,0,9,40
Mythgard,1,0,0,30,Massively Positive,1,0,50,10
Legends of Aria,2,1,2,147,Mixed,5,0,41,50
Crystal Clash,0,1,0,62,Very Positive,1,0,29,83
Dota Underlords,2,2,0,64,Massively Positive,4,1,33,10
Minion Masters,5,2,1,73,Very Positive,8,0,56,83
Splitgate: Arena Warfare,8,1,0,150,Massively Positive,9,1,39,10
Conqueror's Blade,10,1,1,163,Massively Positive,12,0,13,91
Kards,3,0,0,48,Massively Positive,3,0,33,10
KurtzPel,7,1,0,156,Massively Positive,8,1,0,10
Eternal,3,2,1,45,Positive,6,1,33,75
Artifact,1,0,0,38,Massively Positive,1,0,25,10
World War 3,6,0,2,379,Positive,8,0,14,75
Combat Arms: Reloaded,7,0,1,148,Very Positive,8,1,40,88
Dreadnought,5,1,0,119,Massively Positive,6,0,33,10
Spacelords,2,0,0,115,Massively Positive,2,0,86,10
Battlerite Royale,5,1,1,88,Very Positive,7,1,46,83
Magic: The Gathering Arena,14,0,1,236,Massively Positive,15,1,0,93
BlackShot: Revolution,3,1,1,84,Positive,5,0,48,75
Cosmos Invictus,0,0,0,33,Very Positive,0,0,40,83
Realm Royale Reforged,4,1,2,92,Positive,7,3,65,67
Totally Accurate Battlegrounds,15,0,1,278,Massively Positive,16,2,26,94
Will To Live,4,2,2,187,Positive,8,1,25,67
Spellsworn,0,0,0,38,Very Positive,0,0,50,83
Z1 Battle Royale,4,3,0,164,Massively Positive,7,1,29,10
Tale Of Toast,1,1,1,88,Mixed,3,1,67,50
Bombtag,1,0,0,37,Massively Positive,1,0,50,10
Ironsight,16,4,4,301,Positive,24,3,5,80
Dead Maze,5,0,1,97,Very Positive,6,1,33,83
Scions of Fate,0,0,0,47,Very Positive,0,0,0,83
Wild Terra Online,1,1,1,84,Mixed,3,1,42,50
Global Adventures,0,0,0,37,Very Positive,0,0,29,83
Closers,8,3,1,177,Very Positive,12,0,4,89
La Tale Evolved,2,0,0,34,Massively Positive,2,0,9,10
Luna Online: Reborn,2,0,0,95,Massively Positive,2,0,25,10
The Ultimatest Battle,0,0,0,39,Very Positive,0,0,81,83
Insidia,1,1,1,37,Mixed,3,0,25,50
Quake Champions,4,4,0,89,Massively Positive,8,0,26,10
Black Squad,8,1,1,178,Very Positive,10,3,18,89
Secret World Legends,1,0,0,109,Massively Positive,1,0,23,10
Argo,4,2,0,182,Massively Positive,6,2,61,10
Pixel Worlds,1,0,4,88,Mostly Negative,5,2,71,20
Deceit,8,1,1,128,Very Positive,10,4,38,89
Gwent: The Witcher Card Game,7,2,0,63,Massively Positive,9,1,20,10
Awesomenauts,1,0,0,38,Massively Positive,1,0,85,10
Alien Swarm: Reactive Drop,3,0,0,46,Massively Positive,3,0,91,10
Catan Universe,2,1,0,51,Massively Positive,3,0,33,10
Krosmaga,0,0,0,22,Very Positive,0,0,50,83
Revelation Online,3,2,0,114,Massively Positive,5,0,90,10
MU Legend,2,1,0,111,Massively Positive,3,1,87,10
Therian Saga,2,0,0,64,Massively Positive,2,1,9,10
Cabals: Card Blitz,0,0,0,15,Very Positive,0,0,50,83
Line of Sight,2,0,1,137,Positive,3,3,49,67
Heavy Metal Machines,2,0,0,84,Massively Positive,2,0,72,10
Infestation: The New Z,3,3,2,172,Positive,8,4,36,60
One Tower,0,0,1,34,Very Positive,1,0,40,83
Shadowverse,6,0,0,63,Massively Positive,6,1,17,10
AdventureQuest 3D,3,0,0,56,Massively Positive,3,0,29,10
Riding Club Championships,2,1,0,71,Massively Positive,3,0,45,10
Battlerite,2,0,1,56,Positive,3,1,8,67
Paladins,10,2,0,119,Massively Positive,12,2,62,10
Star Crusade,0,1,0,18,Very Positive,1,0,75,83
The Elder Scrolls: Legends,1,0,1,35,Mixed,2,1,44,50
Riders of Icarus,4,2,0,94,Massively Positive,6,2,20,10
Zula,3,0,3,93,Mixed,6,4,62,50
LuckCatchers,0,0,0,22,Very Positive,0,0,28,83
UFO Online: Invasion,0,0,0,50,Very Positive,0,0,52,83
Weapons Of Mythology,0,1,0,69,Very Positive,1,0,47,83
Tree of Savior,2,1,0,42,Massively Positive,3,0,15,10
Starbreak,6,2,0,142,Massively Positive,8,3,74,10
Fantasy Tales Online,0,0,0,42,Very Positive,0,0,86,83
Astral Heroes,0,0,0,16,Very Positive,0,0,67,83
Holodrive,0,1,0,32,Very Positive,1,0,86,83
Cabal Online,3,1,0,113,Massively Positive,4,1,8,10
Atom Universe,0,1,1,41,Very Positive,2,0,25,83
Spellweaver,0,1,0,19,Very Positive,1,0,60,83
War Trigger 3,3,0,0,58,Massively Positive,3,1,73,10
VEGA Conflict,0,1,0,27,Very Positive,1,0,20,83
Metal War Online: Retribution,1,1,2,60,Negative,4,0,63,33
Immortal Empire,1,0,0,27,Massively Positive,1,0,36,10
MechWarrior Online,1,2,1,53,Mixed,4,0,92,50
Armored Warfare,1,3,0,43,Massively Positive,4,3,89,10
America’s Army: Proving Grounds,5,1,0,138,Massively Positive,6,1,15,10
Otherland,0,0,1,44,Very Positive,1,0,50,83
Forza Motorsport 6: Apex,13,6,8,1333,Positive,27,2,3,62
WARMODE,3,0,0,75,Massively Positive,3,0,71,10
Sphere 3: Enchanted World,0,0,0,25,Very Positive,0,0,27,83
Fishing Planet,5,0,0,175,Massively Positive,5,0,4,10
Codename CURE,1,1,0,64,Massively Positive,2,1,43,10
Skyforge,9,1,0,105,Massively Positive,10,2,37,10
Card Hunter,3,2,0,52,Massively Positive,5,1,50,10
Fallout Shelter,11,2,1,73,Massively Positive,14,0,20,92
Salem,0,1,2,43,Very Positive,3,0,3,82
Heroes of the Storm,2,1,0,62,Massively Positive,3,2,14,10
Dirty Bomb,4,2,0,52,Massively Positive,6,1,64,10
Block N Load,2,2,0,31,Massively Positive,4,0,75,10
Survarium,2,4,1,186,Positive,7,3,20,67
Dungeon Fighter Online,2,0,0,117,Massively Positive,2,1,10,10
Grimoire: Manastorm,0,0,0,29,Very Positive,0,0,82,83
Transformice,3,0,0,92,Massively Positive,3,1,10,10
Gear Up,3,0,0,32,Massively Positive,3,0,88,10
8BitMMO,2,0,0,55,Massively Positive,2,0,83,10
Dungeon Defenders 2,4,3,0,43,Massively Positive,7,0,67,10
Blockade 3D,5,0,1,42,Very Positive,6,3,68,83
Eldevin,3,1,0,60,Massively Positive,4,1,94,10
Double Action,2,0,0,34,Massively Positive,2,0,82,10
Pox Nora,0,1,0,23,Very Positive,1,0,0,83
Counter-Strike Nexon: Studio,1,0,1,61,Mixed,2,4,48,50
Uncharted Waters Online,2,0,0,26,Massively Positive,2,1,0,10
ArcheAge,13,1,1,271,Massively Positive,15,3,9,93
WAKFU,2,2,0,52,Massively Positive,4,1,36,10
Infinity Wars,0,1,0,15,Very Positive,1,0,67,83
Divine Souls,2,0,0,76,Massively Positive,2,0,24,10
Cubic Castles,0,1,0,17,Very Positive,1,0,42,83
Creativerse,2,3,1,67,Positive,6,1,52,67
Royal Quest,0,0,0,41,Very Positive,0,0,27,83
Guns and Robots,1,1,0,33,Massively Positive,2,0,74,10
Heroes & Generals,5,2,0,165,Massively Positive,7,1,12,10
Robocraft,4,1,1,72,Positive,6,1,41,80
Unturned,13,3,3,155,Very Positive,19,4,38,81
Warface,7,3,1,463,Very Positive,11,1,9,88
Freestyle2: Street Basketball,2,1,1,51,Positive,4,0,0,67
Fistful of Frags,0,1,0,22,Very Positive,1,0,67,83
GunZ 2: The Second Duel,2,0,0,101,Massively Positive,2,0,26,10
Archeblade,1,0,1,64,Mixed,2,0,32,50
Villagers and Heroes,1,0,2,23,Negative,3,0,40,33
Hex,1,1,0,20,Massively Positive,2,0,44,10
Dogs of War Online,0,0,0,16,Very Positive,0,0,33,83
Hearthstone: Heroes of Warcraft,3,1,1,34,Positive,5,3,50,75
Lucent Heart,0,0,1,46,Very Positive,1,0,95,83
Aura Kingdom,8,1,1,97,Very Positive,10,1,55,89
World of Warplanes,3,2,2,69,Positive,7,0,16,60
RIFT,10,0,2,372,Very Positive,12,2,10,83
Path of Exile,10,4,0,60,Massively Positive,14,1,12,10
Dota 2,7,3,0,168,Massively Positive,10,1,43,10
Ragnarok Online 2,2,1,0,66,Massively Positive,3,0,5,10
Panzar,0,0,0,46,Very Positive,0,0,48,83
Kingdom Wars,0,1,0,21,Very Positive,1,0,67,83
Champions of Regnum,1,1,1,19,Mixed,3,1,78,50
Star Conflict,2,1,2,33,Mixed,5,0,79,50
Epic Cards Battle,2,0,0,32,Massively Positive,2,0,14,10
Age of Wushu,2,1,0,70,Massively Positive,3,1,25,10
Everquest,2,0,0,28,Massively Positive,2,0,97,10
Mabinogi,0,0,0,49,Very Positive,0,0,56,83
PlanetSide 2,6,2,0,75,Massively Positive,8,2,67,10
AirMech Strike,3,1,0,24,Massively Positive,4,0,57,10
Pirate 101,0,0,0,17,Very Positive,0,0,78,83
Continent of the Ninth Seal,5,0,0,41,Massively Positive,5,0,25,10
Counter-Strike: Global Offensive,20,2,1,255,Massively Positive,23,2,33,95
Gotham City Impostors,2,0,0,51,Massively Positive,2,0,42,10
RPG MO,3,2,1,58,Positive,6,1,7,75
Realm of the Mad God,1,2,0,82,Massively Positive,3,1,78,10
Star Wars: The Old Republic,4,3,0,64,Massively Positive,7,1,38,10
5Street,5,0,1,82,Very Positive,6,3,27,83
No More Room in Hell,4,1,0,63,Massively Positive,5,1,54,10
Digimon Masters Online,3,3,0,66,Massively Positive,6,0,6,10
Dragon Nest,5,0,0,69,Massively Positive,5,1,7,10
Mission Against Terror,0,0,0,46,Very Positive,0,0,67,83
Spiral Knights,1,2,0,41,Massively Positive,3,0,13,10
Asda Global,1,0,0,38,Massively Positive,1,0,0,10
Brink,2,0,4,71,Negative,6,2,50,33
Allods Online,2,1,0,30,Massively Positive,3,1,45,10
Elsword,3,3,0,83,Massively Positive,6,1,55,10
DC Universe Online,5,1,1,117,Very Positive,7,1,34,83
Bloodline Champions,1,0,0,9,Massively Positive,1,0,50,10
GetAmped 2,1,0,0,83,Massively Positive,1,0,31,10
Dragon Saga,2,0,0,25,Massively Positive,2,0,0,10
Vindictus,1,2,0,81,Massively Positive,3,1,96,10
Aika Online,0,1,0,34,Very Positive,1,0,10,83
APB Reloaded,2,2,1,133,Positive,5,1,25,67
Mortal Online,1,0,0,50,Massively Positive,1,0,13,10
Grand Fantasia,8,0,2,144,Positive,10,6,17,80
League of Legends,12,0,2,159,Very Positive,14,2,32,86
Twelve Sky 2,0,0,0,40,Very Positive,0,0,13,83
Champions Online,3,0,0,30,Massively Positive,3,0,93,10
WolfTeam,2,2,2,53,Mixed,6,1,14,50
Runes of Magic,2,1,1,32,Positive,4,0,71,67
theHunter,3,1,0,100,Massively Positive,4,0,0,10
AION,5,1,1,52,Very Positive,7,1,13,83
Atlantica Online,3,3,0,38,Massively Positive,6,1,44,10
Florensia,1,0,0,32,Massively Positive,1,0,12,10
4Story,2,0,0,21,Massively Positive,2,1,45,10
Wizard101,0,2,1,25,Very Positive,3,0,29,83
Perfect World International,1,1,1,33,Mixed,3,0,38,50
Ace Online,2,0,1,29,Positive,3,0,75,67
Rohan: Blood Feud,0,0,0,35,Very Positive,0,0,12,83
Age of Conan: Unchained,7,0,1,69,Very Positive,8,2,73,88
Saga,1,0,0,21,Massively Positive,1,0,0,10
Fiesta Online,19,1,1,154,Massively Positive,21,2,60,95
Shaiya,1,1,1,44,Mixed,3,1,50,50
Angels Online,0,0,0,22,Very Positive,0,0,0,83
Seal Online,0,0,0,35,Very Positive,0,1,0,83
Team Fortress 2,12,0,0,74,Massively Positive,12,1,39,10
Rumble Fighter,2,1,0,31,Massively Positive,3,0,29,10
Granado Espada Online,0,1,0,21,Very Positive,1,1,20,83
9Dragons,0,0,0,30,Very Positive,0,0,22,83
Crossfire,2,2,1,81,Positive,5,3,32,67
Teeworlds,2,0,1,35,Positive,3,0,60,67
Priston Tale,1,0,0,31,Massively Positive,1,1,44,10
Audition Online,0,0,0,40,Very Positive,0,0,9,83
Roblox,9,2,2,167,Very Positive,13,3,17,82
Voyage Century Online,0,0,0,21,Very Positive,0,0,0,83
Metin2,1,5,0,28,Massively Positive,6,0,0,10
Rappelz,1,0,0,45,Massively Positive,1,0,50,10
Dungeons and Dragons Online,4,2,0,45,Massively Positive,6,0,96,10
RF Online,1,1,0,42,Massively Positive,2,2,23,10
